scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen,
FL,10,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,,FALSE,P,FALSE,,0,3,,,Sort of effective defense. Helped404,
Frank,10,B3,10257,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,2,,,Sort of effective defense. Helped404,
GL,11,R3,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,P,FALSE,,0,3,,,,
JJ,11,B3,5724,R3,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,0,1,0,,FALSE,P,FALSE,,0,2,,,,
YZ,11,B1,3361,R2,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,3,,,,
BH,11,R1,5804,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,,FALSE,P,FALSE,,0,3,,,,
AM,11,B2,1262,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,4,0,,FALSE,No,FALSE,,0,3,,,,
NY,11,R2,4505,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,,FALSE,No,FALSE,,0,2,,,,
RN,12,B3,4286,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,,FALSE,No,FALSE,,0,1,,,,
YZ,12,B1,9003,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,1,2,3,,FALSE,P,FALSE,,0,4,,,,
GL,12,R3,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,,FALSE,No,FALSE,,0,3,,,,
BH,12,R1,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,1,0,0,0,2,5,5,,FALSE,D,FALSE,,0,3,,,,
AM,12,B2,346,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,3,0,2,0,,FALSE,P,FALSE,,0,3,,,,
