scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
AX,14,R3,1727,M,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,1,1,6,0,3,TRUE,D,TRUE,0,0,4,NA,,Occasionally missed L3
GL,15,B1,2421,F,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,0,5,FALSE,P,FALSE,0,0,2,NA,,
SBS,15,R2,2106,F,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,1,0,4,2,2,1,TRUE,D,TRUE,0,0,5,NA,,
EC,15,R1,2199,M,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,2,1,2,2,1,TRUE,P,FALSE,0,0,4,NA,,Good climb just a bit of a skill issue
LJ,15,B2,404,C,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,6,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,"Moved very sluggishly, slow turns, worked because other robots on alliance weren41391t super fast"
BH,15,B3,4541,M,FALSE,FALSE,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,3,1,FALSE,P,FALSE,0,3,4,NA,,Elevator stopped working mid match
JY,15,R3,1885,F,FALSE,TRUE,0,0,0,0,TRUE,TRUE,2,3,0,0,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
EC,16,R1,2377,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,0,1,FALSE,No,FALSE,0,3,0,NA,,
BH,16,B3,1811,C,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,4,1,0,0,0,FALSE,No,FALSE,0,0,2,NA,,
SBS,16,R2,9403,C,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,1,1,1,0,0,FALSE,No,FALSE,0,0,2,NA,,
LJ,16,B2,1111,M,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,3,1,FALSE,P,FALSE,0,0,3,NA,,Long time to align
