scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card,
YR,15,B3,1086,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,3,1,0,3,0,FALSE,P,FALSE,3,FALSE,No Card,
JJ,15,B2,9214,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,Still able to occasionally move their subsystem.
YZ,15,R2,5804,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,4,FALSE,P,FALSE,2,FALSE,No Card,
MH,15,B1,614,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
YZ,16,R2,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,4,2,FALSE,P,FALSE,3,FALSE,No Card,Very slow elevator
BH,16,B1,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,5,FALSE,P,FALSE,3,FALSE,No Card,
JJ,16,B2,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,FALSE,P,FALSE,3,FALSE,No Card,Defended
AZ,16,R3,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,3 major fouls in 2 secs
YR,16,B3,9003,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,0,3,2,FALSE,P,FALSE,1,FALSE,No Card,
RN,16,R1,1262,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,FALSE,P,FALSE,2,FALSE,No Card,spun fast randomly multiple times
YZ,17,R2,3361,R1,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card,
BH,17,B1,6326,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card,Defense
AY,17,R3,339,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card,"Tried defense, did nothing"
JJ,17,B2,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,6,FALSE,No,FALSE,3,FALSE,No Card,Intake very forgiving for hp
RN,17,R1,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,3,0,FALSE,No,FALSE,2,FALSE,No Card,
YR,17,B3,4505,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,2,FALSE,P,FALSE,2,FALSE,No Card,
JJ,18,B2,539,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card,"Missed an auto l2, elevator died, coral stuck"
